id	coin_name	current_price	symbol	currency	price	price_change_24h	marketcap	volume_24h	last_updated	volume_spike	date_added	exchange_id
3110	Radworks	0.663455866838	RAD	USD	0.663455866838	0.90071939	34218385.7862	12234303.1004	2025-07-19 20:41:00	NULL	2020-09-01 00:00:00	1
3111	Radiant Capital	0.024975568058	RDNT	USD	0.024975568058	3.88158199	32255835.9798	6346336.2146	2025-07-19 20:42:00	NULL	2022-07-21 06:25:00	1
3112	Oasis	0.031928174241	ROSE	USD	0.031928174241	3.50350782	236364507.0773	10890962.5859	2025-07-19 20:42:00	NULL	2020-11-12 00:00:00	1
3113	The Sandbox	0.327444252626	SAND	USD	0.327444252626	2.91282635	842608755.6839	73413721.3779	2025-07-19 20:42:00	NULL	2020-08-05 00:00:00	1
3114	Sign	0.075300135298	SIGN	USD	0.075300135298	-1.09086596	90360162.3580	13501320.5663	2025-07-19 20:41:00	NULL	2025-04-25 14:19:12	1
3115	Self Chain	0.070715315614	SLF	USD	0.070715315614	-0.56293082	11809457.7075	6316978.3641	2025-07-19 20:42:00	NULL	2024-08-30 07:47:08	1
3116	Solana	177.896471399853	SOL	USD	177.896471399853	2.21057538	95694802895.3426	4108122370.0156	2025-07-19 20:42:00	NULL	2020-04-10 00:00:00	1
3117	Storj	0.306158594153	STORJ	USD	0.306158594153	2.30240486	126741507.6198	9037070.3528	2025-07-19 20:42:00	NULL	2017-07-02 00:00:00	1
3118	Solar	0.209149754638	SXP	USD	0.209149754638	1.63932045	135921382.5140	5671883.3447	2025-07-19 20:41:00	NULL	2019-08-26 00:00:00	1
3119	Synapse	0.136793393535	SYN	USD	0.136793393535	3.41065692	24870655.2153	14466700.4754	2025-07-19 20:42:00	NULL	2021-09-26 08:56:12	1
3120	Threshold	0.018125590772	T	USD	0.018125590772	0.59734495	183617190.1987	10207586.6310	2025-07-19 20:41:00	NULL	2022-01-31 08:26:28	1
3121	Taiko	0.491990854828	TAIKO	USD	0.491990854828	-1.78017849	78043750.9421	18076056.6325	2025-07-19 20:42:00	NULL	2024-06-04 04:40:45	1
3122	Theta Network	0.906485698066	THETA	USD	0.906485698066	4.88889255	906485698.0660	39193707.0200	2025-07-19 20:42:00	NULL	2018-01-17 00:00:00	1
3123	Tensor	0.146216775298	TNSR	USD	0.146216775298	2.81316443	57325599.8406	7717378.6427	2025-07-19 20:42:00	NULL	2024-04-08 11:24:28	1
3124	TokenFi	0.018650155854	TOKEN	USD	0.018650155854	2.50361016	18650524.9221	6001907.5210	2025-07-19 20:42:00	NULL	2023-10-27 09:01:44	1
3125	Toncoin	3.220918838763	TON	USD	3.220918838763	1.86223870	7955913855.7886	175739179.5569	2025-07-19 20:42:00	NULL	2021-08-26 13:40:22	1
3126	Uniswap	10.133936673892	UNI	USD	10.133936673892	1.27354974	6371609689.5726	522119350.6306	2025-07-19 20:42:00	NULL	2020-09-17 00:00:00	1
3127	Virtuals Protocol	1.781333287056	VIRTUAL	USD	1.781333287056	5.00327332	1167004676.9973	145796063.9489	2025-07-19 20:42:00	NULL	2024-02-15 07:33:29	1
3128	WAX	0.023992116287	WAXP	USD	0.023992116287	2.01003627	106070175.6964	4819498.0914	2025-07-19 20:42:00	NULL	2017-12-21 00:00:00	1
3129	WalletConnect Token	0.349307071591	WCT	USD	0.349307071591	4.60864861	65040976.7302	50350705.9504	2025-07-19 20:42:00	NULL	2024-09-24 15:24:51	1
3130	WINkLink	0.000057331510	WIN	USD	0.000057331510	0.24462951	56970427.7228	25638134.7991	2025-07-19 20:42:00	NULL	2019-08-01 00:00:00	1
3131	WOO	0.088348580796	WOO	USD	0.088348580796	4.08113069	168678959.8067	11320731.2868	2025-07-19 20:41:00	NULL	2020-10-23 00:00:00	1
3132	Stellar	0.463933762425	XLM	USD	0.463933762425	1.96830230	14427689835.6826	732101506.8138	2025-07-19 20:42:00	NULL	2014-08-05 00:00:00	1
3133	yearn.finance	6128.805472604640	YFI	USD	6128.805472604640	3.32263879	207178633.5776	19458807.8229	2025-07-19 20:42:00	NULL	2020-07-18 00:00:00	1
3134	Polyhedra Network	0.169072632096	ZKJ	USD	0.169072632096	-1.46624355	49514798.8754	10365570.9203	2025-07-19 20:42:00	NULL	2024-03-19 09:05:12	1
